Date,Open,High,Low,Close,Volume,Stock Trading
"2019-01-04","54100","54650","52310","53300","1370300","53300"
"2019-01-07","54720","55470","53870","53870","1335700","53870"
"2019-01-08","54790","54810","53170","53670","1079100","53670"
"2019-01-09","54010","54090","53050","53200","875600","53200"
"2019-01-10","52620","53180","52020","52060","940300","52060"
"2019-01-11","52450","55850","52310","55280","2563500","55280"
"2019-01-15","55300","55650","53110","53330","1211600","53330"
"2019-01-16","52960","53090","51340","52100","1090600","52100"
"2019-01-17","52250","52590","50730","50840","1020500","50840"
"2019-01-18","51000","51540","50380","51430","1034500","51430"
"2019-01-21","51550","52060","51050","51320","830500","51320"
"2019-01-22","51310","51430","50680","51060","815600","51060"
"2019-01-23","50320","52120","50210","51230","1131800","51230"
"2019-01-24","51220","51280","49640","49640","1039000","49640"
"2019-01-25","49640","50400","49350","49850","1045900","49850"
"2019-01-28","49750","50460","49720","50170","591100","50170"
"2019-01-29","50130","50600","49810","50580","772900","50580"
"2019-01-30","50400","50580","49860","49910","598000","49910"
"2019-01-31","50500","50570","49730","49830","745600","49830"
"2019-02-01","50050","51140","49910","50810","972500","50810"
"2019-02-04","50810","51010","50230","50540","529400","50540"
"2019-02-05","50110","50250","48600","49100","876800","49100"
"2019-02-06","49210","49800","48830","49350","789900","49350"
"2019-02-07","48810","49000","47880","48020","750500","48020"
"2019-02-08","47320","48650","47040","47780","1171900","47780"
"2019-02-12","48080","49520","47820","49220","1063700","49220"
"2019-02-13","49980","50290","49160","49160","785600","49160"
"2019-02-14","49320","49740","48840","49370","544800","49370"
"2019-02-15","49230","49230","48320","48720","665000","48720"
"2019-02-18","49400","50800","49280","50620","745200","50620"
"2019-02-19","50360","50900","49960","50300","626600","50300"
"2019-02-20","50280","50610","50130","50340","430400","50340"
"2019-02-21","50600","51330","50440","51090","747800","51090"
"2019-02-22","51050","51630","50730","51110","591100","51110"
"2019-02-25","51620","51770","51130","51450","527000","51450"
"2019-02-26","51850","51920","50750","50890","551800","50890"
"2019-02-27","50850","52320","50710","52250","710100","52250"
"2019-02-28","52450","52530","51780","52160","641000","52160"
"2019-03-01","52440","53430","52430","53270","729200","53270"
"2019-03-04","54000","54030","53210","53410","605300","53410"
"2019-03-05","53770","55120","53480","54480","941000","54480"
"2019-03-06","53970","54120","52680","53110","948100","53110"
"2019-03-07","52800","53530","52800","53410","704300","53410"
"2019-03-08","53410","53480","51930","52210","1447900","52210"
"2019-03-11","52380","52830","51690","52440","670600","52440"
"2019-03-12","53100","54100","52770","53940","836800","53940"
"2019-03-13","53800","54050","53070","53480","655200","53480"
"2019-03-14","54070","54760","53470","53710","671100","53710"
"2019-03-15","53920","54170","53380","53490","724700","53490"
"2019-03-18","53830","54110","53540","53780","387100","53780"
"2019-03-19","53780","53950","53490","53950","417400","53950"
"2019-03-20","53800","54420","53730","54320","555700","54320"
"2019-03-22","54870","54910","53470","53940","626500","53940"
"2019-03-25","53000","53310","52420","52630","688200","52630"
"2019-03-26","52980","53220","52170","52760","744800","52760"
"2019-03-27","52700","52910","51880","52880","839500","52880"
"2019-03-28","52770","52830","52180","52320","762600","52320"
"2019-03-29","52530","52700","51830","52030","727700","52030"
"2019-04-01","52540","53490","52340","52490","862700","52490"
"2019-04-02","53180","53180","51750","51800","689200","51800"
"2019-04-03","53010","54670","52620","54620","1684000","54620"
"2019-04-04","54800","54810","53840","54480","745400","54480"
"2019-04-05","54400","54880","54210","54560","515800","54560"
"2019-04-08","55080","55570","54740","54770","709000","54770"
"2019-04-09","54800","55100","54640","54840","363200","54840"
"2019-04-10","54730","55560","54650","55220","666300","55220"
"2019-04-11","55600","55740","54980","55500","702400","55500"
"2019-04-12","57500","59980","57360","59880","2249600","59880"
"2019-04-15","60510","60690","59400","60430","878900","60430"
"2019-04-16","60410","61900","60350","61830","1066400","61830"
"2019-04-17","62100","62470","61710","62400","1030300","62400"
"2019-04-18","62710","63330","62460","63270","991000","63270"
"2019-04-19","63980","64680","63620","64590","741000","64590"
"2019-04-22","65080","65490","64010","64530","730300","64530"
"2019-04-23","63560","63560","62260","63340","989500","63340"
"2019-04-24","63420","64480","63300","64420","860600","64420"
"2019-04-25","64030","64470","63340","64140","789000","64140"
"2019-04-26","64230","64600","63670","64260","612100","64260"
"2019-05-07","63500","63970","63000","63300","719700","63300"
"2019-05-08","62020","64150","62020","64150","977700","64150"
"2019-05-09","63950","65040","63930","64970","872000","64970"
"2019-05-10","65140","65970","64600","65400","1297000","65400"
"2019-05-13","64440","64740","63690","64410","741900","64410"
"2019-05-14","63630","64300","62950","64110","916300","64110"
"2019-05-15","64340","64350","63380","63890","649200","63890"
"2019-05-16","63810","64380","63350","63900","658400","63900"
"2019-05-17","64300","64890","64120","64550","628600","64550"
"2019-05-20","64990","65740","64930","64950","658500","64950"
"2019-05-21","64960","65720","64680","65080","641500","65080"
"2019-05-22","65500","65710","65040","65700","547900","65700"
"2019-05-23","65790","66580","65420","66060","784600","66060"
"2019-05-24","66000","66010","65070","65540","610600","65540"
"2019-05-27","65980","66440","65750","66410","453800","66410"
"2019-05-28","66490","66710","66210","66360","476500","66360"
"2019-05-29","65820","66240","65020","65180","585300","65180"
"2019-05-30","64940","65180","63740","64170","820100","64170"
"2019-05-31","63770","63830","62630","62770","933800","62770"
"2019-06-03","62270","63310","62050","63110","863000","63110"
"2019-06-04","63430","63830","62690","63290","659300","63290"
"2019-06-05","63520","63580","62310","62310","906900","62310"
"2019-06-06","62630","64220","62510","64080","820700","64080"
"2019-06-07","64490","64760","63590","64150","751000","64150"
"2019-06-10","64770","65600","64160","64420","890200","64420"
"2019-06-11","64050","64270","63130","63310","581100","63310"
"2019-06-12","63660","64920","63420","64840","893900","64840"
"2019-06-13","64770","65540","64620","64900","670300","64900"
"2019-06-14","65170","66060","64910","66060","939700","66060"
"2019-06-17","66410","67060","65930","66930","655400","66930"
"2019-06-18","67300","67330","66010","66310","644300","66310"
"2019-06-19","67000","67250","66290","66840","680900","66840"
"2019-06-20","67210","68000","66760","67500","786900","67500"
"2019-06-21","67800","68040","66050","66100","788900","66100"
"2019-06-24","66210","66780","65770","66530","519700","66530"
"2019-06-25","66390","66580","65560","66090","538100","66090"
"2019-06-26","65600","65840","64950","65400","493600","65400"
"2019-06-27","65400","65460","64620","65390","512400","65390"
"2019-06-28","65490","66050","64790","65130","791000","65130"
"2019-07-01","65700","66140","65380","65740","607100","65740"
"2019-07-02","65400","65740","64920","65090","484800","65090"
"2019-07-03","66520","67830","66320","66830","1322000","66830"
